"","nobs","nsim","k","lm","lewbel","tsls"
"127",200,26,1,0.135289577945753,0.215100937696252,-0.034464785878729
"128",500,26,1,0.134753059700717,0.194435954349857,0.0683465488539148
"129",1100,26,1,0.139684864184649,-0.0627202327793228,0.0742661125905999
"130",3000,26,1,0.129242087044018,0.00968140889741576,0.0172243107934702
"131",100,27,1,0.171994542498527,-0.230053449266932,0.111014831703374
"132",200,27,1,0.17558785619164,-0.144344071232344,-0.0266856594102678
"133",500,27,1,0.116757651085333,-0.211374267097662,0.0284187316204194
"134",1100,27,1,0.167415623778491,0.0550353562550523,0.0366384857509212
"135",3000,27,1,0.123114708750119,0.012764688940762,-0.0112604677401319
"136",100,28,1,0.0424102959726627,-0.779990169020341,-0.0110200697248145
"137",200,28,1,0.118346655566068,-1.2867201685549,0.0649354108795777
"138",500,28,1,0.117391645356595,-0.220700620974693,-0.0733333006633671
"139",1100,28,1,0.1634687310165,-0.363432606379398,0.0485657995928293
"140",3000,28,1,0.153599988334026,0.0979518929479899,0.0325037047469294
"141",100,29,1,0.0994436060581079,-0.21557753201927,0.0573588459164966
"142",200,29,1,0.0613124133067178,-0.425777025185894,-0.0682581910691764
"143",500,29,1,0.189120629777993,-0.359361524621557,0.0972699796724779
"144",1100,29,1,0.150172167822715,-0.116876801693898,0.0864787207186271
"145",3000,29,1,0.151130321917884,0.113758762356875,0.048961312708093
"146",100,30,1,0.0375456516899557,0.327682619019317,-0.0182421749471212
"147",200,30,1,0.0585076711927333,0.892070445289787,-0.0031043007301953
"148",500,30,1,0.116111723424736,-0.920450371335443,0.00621522505540484
"149",1100,30,1,0.129739466192078,0.195267576246623,-0.0723743546164557
"150",3000,30,1,0.148877775742804,0.0698149440415865,-0.0166922725253081
"151",100,31,1,0.134365337326593,0.677454658988476,-0.111252541511897
"152",200,31,1,0.152983599630202,-1.04172914662137,-0.0153174295209427
"153",500,31,1,0.155244989604237,0.0437135931141537,0.00677970159668106
"154",1100,31,1,0.161424837554234,-0.0564942801703452,0.0203981603896193
"155",3000,31,1,0.12831021384882,0.121103281393567,-0.0281211835290031
"156",100,32,1,0.359564749089537,-7.05827785315294,0.0901764394115436
"157",200,32,1,0.128050475555067,0.206399540363123,-0.0188287168956918
"158",500,32,1,0.162216286764772,0.330276764848014,-0.00846083293020927
"159",1100,32,1,0.177835356039642,-0.100580910888973,0.0677284592210936
"160",3000,32,1,0.148163272928698,-0.022990713875037,0.020518838867871
"161",100,33,1,0.101579025311645,-0.0260041146740325,-0.257276325784203
"162",200,33,1,0.0944998275339675,-0.12351079005276,-0.116123753141601
"163",500,33,1,0.111955479066372,-0.0608101329521056,-0.0134720342889114
"164",1100,33,1,0.180965063755233,-0.0532895861542529,0.0192039979814229
"165",3000,33,1,0.156602825979244,0.0728337434779491,0.0200122518117327
"166",100,34,1,0.143100642678443,0.906609823584222,-0.151194810946923
"167",200,34,1,0.172357642505115,0.71749405963774,-0.0664078536539833
"168",500,34,1,0.0935100354411433,-0.0808817183409799,-0.0146163428155882
"169",1100,34,1,0.124884155792223,0.0557170648439067,0.0314301133584471
"170",3000,34,1,0.131053269044784,0.121015926043917,0.0145327884290547
"171",100,35,1,0.201449920574353,0.307518184717558,0.164206319388829
"172",200,35,1,0.136769314601325,-0.147277003765143,0.0537303532173452
"173",500,35,1,0.177867891379651,0.0628730924044096,0.00461226761841083
"174",1100,35,1,0.185574885817208,-0.302190683234341,0.0544746783131185
"175",3000,35,1,0.136479491308533,-0.0238155336106626,-0.00389329756316825
"176",100,36,1,0.0867063817747684,2.50941976573748,-0.0718132581703609
"177",200,36,1,0.193339760535542,0.263217973893483,0.151378368239133
"178",500,36,1,0.190400267001957,-1.18716042709809,0.122045316255291
"179",1100,36,1,0.16008096927152,0.283402287986686,0.0277999468021437
"180",3000,36,1,0.120748739453355,0.130296822871264,-0.0158144088826183
"181",100,37,1,0.167066252246138,-0.44453392191805,0.0837295778884215
"182",200,37,1,0.110826535190729,-0.11047679369185,-0.11821992434251
"183",500,37,1,0.117607446325382,-0.167456927072864,0.00313205267889205
"184",1100,37,1,0.113644360590922,-0.0619047332020772,-0.0218836116336341
